               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066911,            0.041125,            0.022526,             0.80812,             0.25424,             0.18922,            0.076461,             0.05182,            0.020229,           0.0082897,           0.0033281,           0.0033281,            0.070047
                   1,            0.056332,            0.026988,           0.0081728,             0.58364,             0.45418,             0.34865,             0.10136,            0.051903,            0.014705,           0.0029962,           0.0066599,           0.0066599,            0.040046
                   2,            0.056809,            0.021021,           0.0054775,             0.77685,             0.32715,             0.37826,              0.1096,            0.049865,            0.013721,           0.0026591,           0.0099859,           0.0099859,            0.010039
                   3,            0.048375,            0.021386,            0.005046,             0.65178,             0.52926,             0.47023,             0.22614,            0.042102,            0.012855,           0.0028075,             0.00998,             0.00998,             0.00998
                   4,            0.041233,            0.020176,           0.0041414,             0.84769,              0.5577,             0.57746,             0.24825,            0.039684,            0.011964,           0.0018418,             0.00998,             0.00998,             0.00998
                   5,            0.038999,            0.020743,           0.0038347,             0.84902,             0.59601,             0.56501,             0.27414,            0.027166,            0.012823,           0.0018013,           0.0099645,           0.0099645,           0.0099645
                   6,            0.033713,            0.020594,           0.0034941,             0.93496,             0.59201,             0.72048,              0.4565,            0.028715,            0.011286,           0.0014074,           0.0099446,           0.0099446,           0.0099446
                   7,             0.03187,            0.019123,           0.0027791,             0.91317,             0.60584,             0.67567,              0.4027,            0.026633,            0.011272,           0.0017364,           0.0099203,           0.0099203,           0.0099203
                   8,            0.029611,            0.018946,           0.0024224,             0.91417,             0.66661,             0.65664,             0.43253,            0.021856,            0.010989,           0.0013106,           0.0098916,           0.0098916,           0.0098916
                   9,            0.028433,            0.019376,           0.0025276,             0.87835,             0.83051,             0.81822,             0.42587,            0.022232,            0.011836,           0.0011354,           0.0098586,           0.0098586,           0.0098586
                  10,             0.02577,            0.018352,           0.0021528,             0.73627,             0.83051,             0.74035,             0.41436,            0.020989,            0.010995,           0.0010685,           0.0098213,           0.0098213,           0.0098213
                  11,            0.026726,            0.018179,           0.0019872,             0.93356,             0.82934,             0.83158,             0.46542,            0.018409,            0.010624,           0.0010934,           0.0097798,           0.0097798,           0.0097798
                  12,            0.025172,            0.018261,           0.0016481,             0.94602,             0.81746,             0.85158,             0.52533,             0.02155,            0.011064,          0.00089662,            0.009734,            0.009734,            0.009734
                  13,            0.024693,            0.017927,           0.0017559,             0.92728,             0.81369,              0.8638,              0.4986,            0.018208,            0.010622,          0.00092936,            0.009684,            0.009684,            0.009684
                  14,             0.02468,            0.017453,           0.0015904,             0.91776,             0.81746,             0.83736,             0.55425,            0.017463,             0.01101,          0.00086684,           0.0096299,           0.0096299,           0.0096299
                  15,            0.024519,            0.018182,           0.0016583,             0.91731,             0.81554,             0.81051,             0.45972,             0.01842,             0.01108,          0.00088068,           0.0095717,           0.0095717,           0.0095717
                  16,            0.024893,            0.017805,           0.0016943,             0.94655,             0.81181,              0.8195,             0.57349,            0.015741,            0.010501,          0.00099757,           0.0095095,           0.0095095,           0.0095095
                  17,            0.021319,            0.016935,            0.001482,             0.96232,             0.81188,             0.81652,              0.5403,            0.015629,            0.011471,          0.00076406,           0.0094434,           0.0094434,           0.0094434
                  18,            0.022544,            0.017031,           0.0013685,             0.96324,             0.81746,             0.83413,              0.5651,            0.016438,            0.010685,          0.00082208,           0.0093733,           0.0093733,           0.0093733
                  19,            0.022034,            0.017308,           0.0014026,             0.95939,             0.81352,             0.87347,             0.59398,            0.015638,            0.010411,          0.00075611,           0.0092995,           0.0092995,           0.0092995
                  20,            0.021979,            0.017168,           0.0012249,              0.9678,             0.80932,             0.86243,             0.64003,            0.016647,            0.010971,          0.00075353,           0.0092219,           0.0092219,           0.0092219
                  21,            0.023311,            0.016991,           0.0013089,             0.94423,             0.81181,             0.87871,             0.64325,            0.016718,            0.011762,          0.00082127,           0.0091406,           0.0091406,           0.0091406
                  22,            0.021501,            0.016215,           0.0013369,              0.9561,             0.81746,             0.88603,              0.6457,             0.01565,            0.010427,          0.00080472,           0.0090557,           0.0090557,           0.0090557
                  23,            0.021053,            0.016389,           0.0011668,             0.78941,             0.98413,             0.89799,             0.68599,            0.014537,           0.0099376,          0.00064613,           0.0089673,           0.0089673,           0.0089673
                  24,            0.021346,            0.016691,           0.0012983,             0.96546,             0.80987,             0.88738,               0.672,            0.015842,            0.010827,           0.0007063,           0.0088755,           0.0088755,           0.0088755
                  25,            0.020491,            0.016255,           0.0010132,             0.78876,             0.99932,             0.87441,             0.63126,            0.015153,            0.010042,           0.0007046,           0.0087804,           0.0087804,           0.0087804
                  26,            0.019982,            0.016435,           0.0013089,             0.96563,             0.81485,             0.87735,             0.64357,             0.01373,            0.010073,          0.00061523,            0.008682,            0.008682,            0.008682
                  27,            0.020207,            0.016172,           0.0012488,             0.85369,             0.99321,             0.93678,              0.6903,            0.013645,            0.010418,          0.00056762,           0.0085805,           0.0085805,           0.0085805
                  28,            0.019802,            0.016052,           0.0010895,             0.96645,             0.80389,             0.82722,             0.60855,            0.014238,            0.010711,          0.00057652,           0.0084759,           0.0084759,           0.0084759
                  29,            0.020972,            0.016527,           0.0013669,             0.96464,             0.81197,             0.83598,             0.55989,            0.014263,             0.01119,          0.00069847,           0.0083684,           0.0083684,           0.0083684
                  30,            0.019733,            0.016324,           0.0012379,             0.96803,             0.80959,             0.82551,             0.55751,            0.015344,            0.010356,          0.00052829,           0.0082581,           0.0082581,           0.0082581
                  31,             0.02069,            0.016451,          0.00087096,             0.96746,             0.81099,             0.84414,             0.60818,            0.013121,             0.01031,          0.00053605,            0.008145,            0.008145,            0.008145
                  32,            0.019197,            0.015581,          0.00088568,             0.85615,             0.98631,             0.93595,             0.68212,            0.013482,            0.011053,          0.00047648,           0.0080294,           0.0080294,           0.0080294
                  33,            0.018981,            0.016121,          0.00083754,             0.96099,             0.98413,             0.98181,             0.69849,            0.013619,            0.010473,          0.00048774,           0.0079112,           0.0079112,           0.0079112
                  34,            0.019203,            0.015631,           0.0008148,             0.95736,             0.98413,             0.97605,             0.73843,            0.014018,            0.010195,          0.00060862,           0.0077907,           0.0077907,           0.0077907
                  35,            0.018494,            0.015879,           0.0011046,             0.96549,             0.97824,             0.97896,             0.74546,            0.012903,            0.010095,          0.00053688,           0.0076679,           0.0076679,           0.0076679
                  36,            0.018396,            0.015511,          0.00079301,             0.84996,             0.98206,             0.87185,             0.61689,            0.013941,            0.010399,          0.00044708,            0.007543,            0.007543,            0.007543
                  37,            0.019137,            0.015854,          0.00072701,             0.79796,             0.99668,             0.90811,             0.67145,            0.013595,            0.010558,           0.0004799,            0.007416,            0.007416,            0.007416
                  38,            0.018671,            0.015222,          0.00093633,             0.85222,             0.97614,             0.92611,             0.66714,             0.01346,            0.010947,            0.000543,           0.0072872,           0.0072872,           0.0072872
                  39,            0.018141,            0.015333,          0.00091351,             0.96263,             0.97093,             0.98447,             0.73703,            0.013191,            0.010296,          0.00050308,           0.0071566,           0.0071566,           0.0071566
                  40,            0.018554,            0.015981,          0.00082209,             0.96318,             0.97846,             0.98032,             0.71781,            0.013353,            0.010062,           0.0004728,           0.0070243,           0.0070243,           0.0070243
                  41,            0.017365,            0.015596,          0.00072576,             0.96395,             0.98362,             0.97941,              0.7114,            0.013335,            0.010458,          0.00035936,           0.0068906,           0.0068906,           0.0068906
                  42,            0.018381,            0.015349,           0.0010113,             0.96426,             0.97565,             0.98791,             0.65717,            0.012744,            0.010203,          0.00039132,           0.0067555,           0.0067555,           0.0067555
                  43,            0.018067,            0.015888,          0.00088929,             0.96877,             0.97514,               0.981,             0.70493,            0.012859,            0.010814,           0.0004411,           0.0066191,           0.0066191,           0.0066191
                  44,              0.0181,            0.015395,          0.00092971,             0.96343,             0.97848,             0.97245,             0.66815,            0.012919,             0.01044,          0.00050261,           0.0064816,           0.0064816,           0.0064816
                  45,             0.01742,            0.015106,          0.00090179,             0.85328,              0.9813,             0.92228,             0.71786,            0.012573,            0.010518,          0.00053439,           0.0063432,           0.0063432,           0.0063432
                  46,            0.017337,            0.015471,          0.00063194,              0.9361,             0.80458,             0.87777,             0.68106,            0.012503,            0.009983,          0.00056522,            0.006204,            0.006204,            0.006204
                  47,            0.016937,            0.015071,          0.00079655,             0.84764,             0.98395,             0.91538,             0.68667,            0.012415,            0.010396,          0.00062496,            0.006064,            0.006064,            0.006064
                  48,            0.016993,            0.015123,          0.00059751,             0.95359,               0.984,             0.97515,             0.70088,            0.012431,           0.0099972,          0.00056848,           0.0059235,           0.0059235,           0.0059235
                  49,            0.017077,            0.014915,          0.00072355,             0.96344,             0.97972,             0.97516,             0.72784,            0.012612,            0.010326,          0.00045023,           0.0057826,           0.0057826,           0.0057826
                  50,            0.017601,             0.01523,           0.0007554,             0.85049,             0.98144,             0.91796,             0.65909,            0.012717,            0.010343,           0.0003855,           0.0056413,           0.0056413,           0.0056413
                  51,            0.016599,            0.015367,          0.00059041,             0.84854,             0.98108,             0.91922,             0.65223,             0.01241,            0.010228,          0.00040678,              0.0055,              0.0055,              0.0055
